Sr No,Date dd/mm/yyyy,Startup Name,Startup type,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,GREEN,Success
250,25-06-2018,HipBar,Non-Green,Consumer Internet,Digital Payment Platform For Beverage Delivery,Bengaluru,Diageo India,Private Equity,"40,00,000",,0
251,25-06-2018,Sqqrl,Non-Green,Finance,App-based investment platform,Gurugram,Equanimity Venture Fund,Seed/ Angel Funding,"10,00,000",,0
252,26-06-2018,Paytm,Non-Green,Technology,Digital Payment Platform,Noida,One 97 Communications,Private Equity,"89,50,000",,0
253,26-06-2018,Sigtuple,Non-Green,Healthcare,Data Driven Intelligence Solutions Platform,Bengaluru,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity,"1,90,00,000",,0
254,27-06-2018,Wow Express,Non-Green,Technology,E-commerce Logistics Platform,Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,"45,00,000",,0
255,28-06-2018,Front Desk AI,Non-Green,Technology,An AI Platform Offering Automated Customer Service Software,Bengaluru,Speciale Invest & Others,Seed/ Angel Funding,"11,00,000",,0
256,28-06-2018,Edureka,Non-Green,Ed-Tech,Online Education Platform,Bengaluru,Leo Capital,Seed/ Angel Funding,"20,00,000",,0
257,29-06-2018,Numeroseven,Non-Green,Technology,An Artificial Intelligence-Based Recruitment Platform,Kolkatta,Shiva Gunapu & Others,Seed/ Angel Funding,N/A,,0
258,02-05-2018,OpenTap,Non-Green,Finance,Online Lending Platform,Chennai,Unknown High Net-Worth Individuals,Seed / Angel Funding,"4,50,000",,0
259,02-05-2018,Bizongo,Non-Green,Consumer Internet,Aggregator For Packaging Material,Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,"2,20,00,000",,0
260,03-05-2018,Disprz,Non-Green,IT,SaaS,Chennai,"IL&FS Private Equity, Kae Capital & Others",Seed / Angel Funding,"25,00,000",,0
261,07-05-2018,PaisaDukan,Non-Green,Consumer Internet,P2P Lending Platform,Mumbai,N/A,Seed / Angel Funding,"2,25,000",,0
262,09-05-2018,i3sysytems,Non-Green,Technology,AI product company For Health and Life Insurane Companies,Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Seed / Angel Funding,"10,00,000",,0
